"name","name_eng"
"Національний університет цивільного захисту України (НУЦЗУ)","National University of Civil Defence of Ukraine (NUCDU)"
"Національний фармацевтичний університет (НФаУ)","National Pharmaceutical University (NPhU)"
"Національний юридичний університет імені Ярослава Мудрого","Yaroslav Mudryi National Law University"
"Ніжинський агротехнічний інститут Національного університету біоресурсів і природокористування України","Nizhyn Agrotechnical Institute of the National University of Life and Environmental Sciences of Ukraine"
"Ніжинський державний університет ім. Гоголя (НДУ)","Nizhyn Mykola Gogol State University (NDSU)"
"Нікопольський економічний університет (НЕУ)","Nikopol University of Economics (NUE)"
"Нікопольський коледж Дніпропетровського державного аграрно-економічного університету","Nikopol College of the Dnipropetrovsk State Agrarian and Economic University"
"ННІ ""Інститут державного управління"" Харківського національного університету ім. В.Н. Каразіна","Educational and Research Institute ""Institute of Public Administration"" of V.N. Karazin Kharkiv National University"
"Новокаховський політехнічний інститут (НКПІ)","Nova Kakhovka Polytechnic Institute (NKPI)"
"Одеська державна академія будівництва та архітектури (ОДАБА)","Odesa State Academy of Civil Engineering and Architecture (ODABA)"
"Одеська державна академія технічного регулювання та якості (ОДАТРтаЯ)","Odesa State Academy of Technical Regulation and Quality (OSATRQ)"
"Одеська національна музична академія ім. Нежданової (ОДМА)","Odesa National A.V. Nezhdanova Music Academy (ONMA)"
"Одеський державний аграрний університет (ОДАУ)","Odesa State Agrarian University (ODAU)"
"Одеський державний екологічний університет (ОДЕКУ)","Odesa State Environmental University (OSEU)"
"Одеський державний університет внутрішніх справ (ОДУВС)","Odesa State University of Internal Affairs (OSUIA)"
"Одеський інститут підприємництва та права (ОІПП)","Odesa Institute of Entrepreneurship and Law (OIPEL)"
"Одеський національний економічний університет (ОНЕУ)","Odesa National Economic University (ONEU)"
"Одеський національний медичний університет (ОНМУ)","Odesa National Medical University (ONMedU)"
"Одеський національний морський університет (ОНМУ)","Odesa National Maritime University (ONMU)"
"Одеський національний технологічний університет","Odesa National Technological University"
"Одеський національний університет ім. Мечникова (ОНУ)","Odesa I.I. Mechnikov National University (ONU)"
"Одеський регіональний інститут державного управління Національної академії державного управління при Президентові України","Odesa Regional Institute of Public Administration of the National Academy of Public Administration"
"Одеський Технологічний Університет ""ШАГ""","Odesa Technological University ""STEP"""
"Одеський торговельно-економічний інститут Київського національного торговельно-економічного університету (ОТЕІ КНТЕУ)","Odesa Trade and Economic Institute of the Kyiv National University of Trade and Economics (OTEI KNUTE)"
"Одеський факультет Київського національного університету культури і мистецтв","Odesa Faculty of the Kyiv National University of Culture and Arts"
"ПВНЗ «Міжнародний інститут глибинної психології»","Private Higher Education Institution ""International Institute of Depth Psychology"""
"Пенітенціарна академія України (ПАУ)","Penitentiary Academy of Ukraine (PAU)"
"Первомайський інститут Одеського національного університету ім. Мечникова","Pervomaisk Institute of Odesa I.I. Mechnikov National University"
"Первомайський політехнічний інститут НУК","Pervomaisk Polytechnic Institute of the National University of Shipbuilding"
"Пирятинська філія Європейського університету","Pyriatyn Branch of the European University"
"Південноукраїнський національний педагогічний університет ім. К. Д. Ушинського","South Ukrainian National Pedagogical University named after K.D. Ushynsky"
"Подільський державний університет","Podilskyi State University"
"Поліський національний університет","Polissia National University"
"Полтавська філія Національного університету харчових технологій","Poltava Branch of the National University of Food Technologies"
"Полтавський державний аграрний університет","Poltava State Agrarian University"
"Полтавський державний медичний університет","Poltava State Medical University"
"Полтавський інститут економіки і права Університету ""Україна""","Poltava Institute of Economics and Law of the ""Ukraine"" University"
"Полтавський національний педагогічний університет ім. Короленка (ПНПУ)","Poltava V.G. Korolenko National Pedagogical University (PNPU)"
"Полтавський університет економіки і торгівлі (ПУЕТ)","Poltava University of Economics and Trade (PUET)"
"Полтавський факультет Київського національного університету культури і мистецтв","Poltava Faculty of the Kyiv National University of Culture and Arts"
"Полтавський центр дистанційного навчання МАУП","Poltava Distance Learning Center of IAPM"
"Полтавський юридичний інститут Національного юридичного університету імені Ярослава Мудрого","Poltava Law Institute of the Yaroslav Mudryi National Law University"
"ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""МЕДИКО-ПРИРОДНИЧИЙ УНІВЕРСИТЕТ""","Private Higher Education Institution ""Medical and Natural Sciences University"""
"Придніпровська державна академія будівництва та архітектури (ПДАБА)","Prydniprovska State Academy of Civil Engineering and Architecture (PSACEA)"
"Придніпровська державна академія фізичної культури і спорту","Prydniprovska State Academy of Physical Culture and Sports"
"Прикарпатський національний університет імені Василя Стефаника (ПНУ)","Vasyl Stefanyk Precarpathian National University (PNU)"
"Рівненська медична академія","Rivne Medical Academy"
"Рівненський державний гуманітарний університет (РДГУ)","Rivne State University of the Humanities (RSUH)"
"Рівненський інститут Відкритого міжнародного університету розвитку людини ""Україна""","Rivne Institute of the Open International University of Human Development ""Ukraine"""
"Соціально-педагогічний інститут ""Педагогічна академія"" (СПІ)","Socio-Pedagogical Institute ""Pedagogical Academy"" (SPI)"
"Сумський державний педагогічний університет імені Макаренка (СумДПУ)","A.S. Makarenko Sumy State Pedagogical University (SumDPU)"
"Сумський державний університет (СумДУ)","Sumy State University (SumDU)"
"Сумський національний аграрний університет (СНАУ)","Sumy National Agrarian University (SNAU)"
"Східно-європейський слов'янський університет","East European Slavic University"
"Східноєвропейський університет імені Рауфа Аблязова (СУРА)","Rauf Abliazov East European University (EEU)"
"Східноукраїнський національний університет імені Володимира Даля (СНУ ім. В. Даля)","Volodymyr Dahl East Ukrainian National University (VD EUNU)"
"Таврійський державний агротехнологічний університет імені Дмитра Моторного (ТДАТУ)","Tavria State Agrotechnological University named after Dmytro Motornyi (TSATU)"
"Таврійський національний університет імені В. І. Вернадського (ТНУ)","V.I. Vernadsky Tavriya National University (TNU)"
"Таврійський християнський інститут","Tavria Christian Institute"
"Тернопільський інститут соціальних та інформаційних технологій (ТІСІТ)","Ternopil Institute of Social and Information Technologies (TISIT)"
"Тернопільський національний педагогічний університет ім. В. Гнатюка (ТНПУ)","V. Hnatiuk Ternopil National Pedagogical University (TNPU)"
"Тернопільський національний технічний університет ім. Пулюя (ТНТУ)","I. Puliui Ternopil National Technical University (TNTU)"
"ТОВ ""Технічний університет ""Метінвест Політехніка""","LLC ""Metinvest Polytechnic Technical University"""
"Ужгородський національний університет (УжНУ)","Uzhhorod National University (UzhNU)"
"Ужгородський торговельно-економічний інститут Київського національного торговельно-економічного університету (УТЕІ КНТЕУ)","Uzhhorod Trade and Economic Institute of the Kyiv National University of Trade and Economics (UTEI KNUTE)"
"Українська академія друкарства (УАД)","Ukrainian Academy of Printing (UAP)"
"Українська інженерно-педагогічна академія (УІПА)","Ukrainian Engineering Pedagogics Academy (UEPA)"
"Українська Медична Академія Післядипломної Освіти","Ukrainian Medical Academy of Postgraduate Education"
"Український гуманітарний інститут","Ukrainian Humanities Institute"
"Український державний університет залізничного транспорту","Ukrainian State University of Railway Transport"
"Український державний університет імені Михайла Драгоманова","Ukrainian State University named after Mykhailo Drahomanov"
"Український державний університет науки і технологій","Ukrainian State University of Science and Technologies"
"Український державний хіміко-технологічний університет (УДХТУ)","Ukrainian State University of Chemical Technology (UDUCT)"
"Український католицький університет (УКУ)","Ukrainian Catholic University (UCU)"
"Українсько-Польський вищий навчальний заклад «Центрально-Європейський університет»","Ukrainian-Polish Higher Education Institution ""Central European University"""
"Уманська філія КІБІТ","Uman Branch of the Kyiv Institute of Business and Technology"
"Уманський державний педагогічний університет імені Павла Тичини (УДПУ)","Pavlo Tychyna Uman State Pedagogical University (USPU)"
"Уманський національний університет садівництва (УНУС)","Uman National University of Horticulture (UNUH)"
"Університет ""Україна"" Тернопіль","""Ukraine"" University Ternopil"
"Університет банківської справи (УБС)","University of Banking (UBS)"
"Університет Григорія Сковороди в Переяславі","Hryhorii Skovoroda University in Pereiaslav"
"Університет економіки і підприємництва (УЕП)","University of Economics and Entrepreneurship (UEP)"
"Університет економіки та права ""КРОК""","University of Economics and Law ""KROK"""
"Університет імені Альфреда Нобеля","Alfred Nobel University"
"Університет Короля Данила (УКД)","King Danylo University (KDU)"
"Університет менеджменту освіти (УМО) Національної Академії педагогічних наук України","University of Educational Management (UEM) of the National Academy of Pedagogical Sciences of Ukraine"
"Університет митної справи та фінансів","University of Customs and Finance"
"Університет науки, підприємництва та технологій","University of Science, Entrepreneurship and Technology"
"Університет новітніх технологій","University of Advanced Technologies"
"Університет сучасних знань","University of Modern Knowledge"
"Університет сучасних технологій Neoversity","University of Modern Technologies Neoversity"
"Університет штучного інтелекту та цифровізації","University of Artificial Intelligence and Digitalization"
"Факультет соціології і права КПІ ім. Ігоря Сікорського","Faculty of Sociology and Law of Igor Sikorsky Kyiv Polytechnic Institute"
"Харкiвський iнститут управлiння (ХІУ)","Kharkiv Institute of Management (KhIM)"
"Харківська гуманітарно-педагогічна академія","Kharkiv Humanitarian-Pedagogical Academy"
"Харківська державна академія дизайну і мистецтв (ХДАДМ)","Kharkiv State Academy of Design and Arts (KSADA)"
"Харківська державна академія культури (ХДАК)","Kharkiv State Academy of Culture (KSAC)"
"Харківська державна академія фізичної культури (ХДАФК)","Kharkiv State Academy of Physical Culture (KSAPC)"
"Харківський гуманітарний університет ""Народна українська академія"" (ХГУ НУА)","Kharkiv Humanitarian University ""People's Ukrainian Academy"" (KHU PUA)"
"Харківський інститут кадрів управління (ХІКУ)","Kharkiv Institute of Management Personnel (HIMP)"
"Харківський Інститут медицини та біомедичних наук","Kharkiv Institute of Medicine and Biomedical Sciences"
"Харківський міжнародний медичний університет (ХММУ)","Kharkiv International Medical University (KhIMU)"
"Харківський навчально-науковий інститут ДВНЗ ""Університет банківської справи""","Kharkiv Educational and Research Institute of the University of Banking"
"Харківський національний автомобільно-дорожній університет (ХНАДУ)","Kharkiv National Automobile and Highway University (KhNADU)"
"Харківський національний економічний університет імені Семена Кузнеця (ХНЕУ ім. С. Кузнеця)","Simon Kuznets Kharkiv National University of Economics (KhNUE)"
"Харківський національний медичний університет (ХНМУ)","Kharkiv National Medical University (KhNMU)"
"Харківський національний педагогічний університет ім. Сковороди (ХНПУ)","H.S. Skovoroda Kharkiv National Pedagogical University (KhNPU)"
"Харківський національний технічний університет сільського господарства імені Петра Василенка","Petro Vasylenko Kharkiv National Technical University of Agriculture"
"Харківський національний університет внутрішніх справ (ХНУВС)","Kharkiv National University of Internal Affairs (KhNUIA)"
"Харківський національний університет ім. Каразіна (ХНУ)","V.N. Karazin Kharkiv National University (KhNU)"
"Харківський національний університет мистецтв ім. Котляревського (ХНУМ)","Kotlyarevsky Kharkiv National University of Arts (KhNUA)"
"Харківський національний університет міського господарства імені О.М. Бекетова","O.M. Beketov Kharkiv National University of Urban Economy"
"Харківський національний університет Повітряних Сил ім. Кожедуба (ХНУПС)","Ivan Kozhedub Kharkiv National Air Force University (KhNAFU)"
"Харківський національний університет радіоелектроніки (ХНУРЕ)","Kharkiv National University of Radio Electronics (KhNURE)"
"Харківський соціально-економічний інститут (ХСЕІ)","Kharkiv Socio-Economic Institute (KhSEI)"
"Харківський технологічний университет ШАГ","Kharkiv Technological University ""STEP"""
"Харківський торговельно-економічний інститут КНТЕУ","Kharkiv Trade and Economic Institute of KNUTE"
"Харківський університет","Kharkiv University"
"Харківський університет ТОВ","Kharkiv University LLC"
"Херсонська державна морська академія (ХДМА)","Kherson State Maritime Academy (KSMA)"
"Херсонський державний аграрно-економічний університет","Kherson State Agrarian and Economic University"
"Херсонський державний університет (ХДУ)","Kherson State University (KSU)"
"Херсонський економічно-правовий інститут (ХЕПІ)","Kherson Institute of Economics and Law (KIEL)"
"Херсонський національний технічний університет (ХНТУ)","Kherson National Technical University (KhNTU)"
"Хмельницька гуманітарно-педагогічна академія (ХГПА)","Khmelnytskyi Humanitarian-Pedagogical Academy (KHPA)"
"Хмельницька філія Донецького національного університету імені Василя Стуса «Бізнес-інноваційний центр «ДонНУ-Поділля»","Khmelnytskyi Branch of Vasyl’ Stus Donetsk National University ""DonNU-Podillia Business Innovation Center"""
"Хмельницький економічний університет (ХЕУ)","Khmelnytskyi University of Economics (KhUE)"
"ХМЕЛЬНИЦЬКИЙ ІНСТИТУТ ІМЕНІ БЛАЖЕННІШОГО ВОЛОДИМИРА, МИТРОПОЛИТА КИЇВСЬКОГО І ВСІЄЇ УКРАЇНИ ""ПРАТ ""ВНЗ ""МАУП""","Khmelnytskyi Institute named after Metropolitan Volodymyr of Kyiv and All Ukraine, PJSC HEI ""IAPM"""
"Хмельницький інститут соціальних технологій (ХІСТ) ВМУРоЛ ""Україна""","Khmelnytskyi Institute of Social Technologies of VMUROL ""Ukraine"""
"Хмельницький кооперативний торговельно-економічний інститут (ХКТЕІ)","Khmelnytskyi Cooperative Trade and Economic Institute (KhCTEI)"
"Хмельницький національний університет (ХНУ)","Khmelnytskyi National University (KhNU)"
"Хмельницький університет управління та права імені Леоніда Юзькова (ХУУП)","Khmelnytskyi University of Management and Law named after Leonid Yuzkov (KhUML)"
"Хустський навчально-консультаційний центр НУ ""Львівська політехніка""","Khust Educational and Consulting Center of NU ""Lviv Polytechnic"""
"Центр дистанційного навчання «Нікопольський інститут» ПрАТ ВНЗ «МАУП»","Distance Learning Center ""Nikopol Institute"" of PJSC HEI ""IAPM"""
"Центральноукраїнський державний університет імені Володимира Винниченка","Central Ukrainian State University named after Volodymyr Vynnychenko"
"Центральноукраїнський інститут Міжрегіональної академії управління персоналом","Central Ukrainian Institute of the Interregional Academy of Personnel Management"
"Центральноукраїнський інститут розвитку людини Відкритогог міжнародного університету розвитку людини ""Україна""","Central Ukrainian Institute of Human Development of the Open International University of Human Development ""Ukraine"""
"Центральноукраїнський національний технічний університет (ЦНТУ)","Central Ukrainian National Technical University (CUNTU)"
"Черкаська медична академія","Cherkasy Medical Academy"
"Черкаський державний технологічний університет (ЧДТУ)","Cherkasy State Technological University (ChSTU)"
"Черкаський заочний факультет Полтавського університету споживчої кооперації України","Cherkasy Part-Time Faculty of Poltava University of Consumer Cooperatives of Ukraine"
"Черкаський інститут пожежної безпеки ім. Героїв Чорнобиля (ЧІПБ)","Cherkasy Institute of Fire Safety named after Chornobyl Heroes (ChIFS)"
"Черкаський національний університет ім. Хмельницького (ЧНУ)","Bohdan Khmelnytsky National University of Cherkasy (ChNU)"
"Чернівецький інстититут Міжрегіональної академії управління персоналом","Chernivtsi Institute of the Interregional Academy of Personnel Management"
"Чернівецький національний університет ім. Федьковича (ЧНУ)","Yuriy Fedkovych Chernivtsi National University (ChNU)"
"Чернівецький торговельно-економічний інститут ДТЕУ","Chernivtsi Trade and Economic Institute of the State University of Trade and Economics"
"Чернігівський інститут інформації, бізнесу і права ПВНЗ ""Міжнародний науково-технічний університет імені академіка Юрія Бугая""","Chernihiv Institute of Information, Business and Law of the Private HEI ""International Scientific and Technical University named after Academician Yuriy Bugay"""
"Чорноморський національний університет імені Петра Могили (ЧНУ ім. П. Могили)","Petro Mohyla Black Sea National University (PM BSNU)"
"Яготинський інститут Міжрегіональної академії управління персоналом","Yahotyn Institute of the Interregional Academy of Personnel Management"
